Name,ActiveCases,Recovered,Death,Total cases,Date
Karnataka,24576,16248,757,41581,7/14/2020
Kerala,4032,4257,33,8322,7/14/2020
Ladakh,146,946,1,1093,7/14/2020
Madhya Pradesh,4336,13208,663,18207,7/14/2020
Maharashtra,105935,144507,10482,260924,7/14/2020
Manipur,656,970,0,1626,7/14/2020
Meghalaya,250,66,2,318,7/14/2020
Mizoram,82,151,0,233,7/14/2020
Nagaland,505,340,0,845,7/14/2020
Odisha,4412,9255,70,13737,7/14/2020
Puducherry,665,785,18,1468,7/14/2020
Punjab,2388,5586,204,8178,7/14/2020
Rajasthan,5781,18630,525,24936,7/14/2020
Sikkim,106,86,0,192,7/14/2020
Tamil Nadu,48199,92567,2032,142798,7/14/2020
Telangana,12177,23679,365,36221,7/14/2020
Tripura,603,1475,2,2080,7/14/2020
Uttar Pradesh,12972,24203,955,38130,7/14/2020
Uttarakhand,703,2856,49,3608,7/14/2020
West Bengal,11279,19213,956,31448,7/14/2020
Andaman and Nicobar Islands,57,109,0,166,7/15/2020
Andhra Pradesh,15144,17467,408,33019,7/15/2020
Arunachal Pradesh,306,153,3,462,7/15/2020
Assam,6351,11416,40,17807,7/15/2020
Bihar,6261,12849,174,19284,7/15/2020
Chandigarh,144,446,10,600,7/15/2020
Chhattisgarh,1084,3275,20,4379,7/15/2020
Dadra and Nagar Haveli and Daman and Diu,209,310,1,520,7/15/2020
Delhi,18664,93236,3446,115346,7/15/2020
Goa,1128,1607,18,2753,7/15/2020
Gujarat,11065,30503,2069,43637,7/15/2020
Haryana,5226,17090,312,22628,7/15/2020
Himachal Pradesh,347,951,11,1309,7/15/2020
Jammu and Kashmir,4755,6223,195,11173,7/15/2020
Jharkhand,1628,2427,36,4091,7/15/2020
Karnataka,25845,17390,842,44077,7/15/2020
Kerala,4458,4438,34,8930,7/15/2020
Ladakh,146,946,1,1093,7/15/2020
Madhya Pradesh,4757,13575,673,19005,7/15/2020
Maharashtra,107963,149007,10695,267665,7/15/2020
Manipur,702,970,0,1672,7/15/2020
Meghalaya,250,66,2,318,7/15/2020
Mizoram,79,159,0,238,7/15/2020
Nagaland,550,346,0,896,7/15/2020
Odisha,4342,9864,74,14280,7/15/2020
Puducherry,684,829,18,1531,7/15/2020
Punjab,2635,5663,213,8511,7/15/2020
Rajasthan,5885,19161,525,25571,7/15/2020
Sikkim,122,87,0,209,7/15/2020
Tamil Nadu,47915,97310,2099,147324,7/15/2020
Telangana,12530,24840,375,37745,7/15/2020
Tripura,630,1538,2,2170,7/15/2020
Uttar Pradesh,13758,24983,983,39724,7/15/2020
Uttarakhand,769,2867,50,3686,7/15/2020
West Bengal,11927,19931,980,32838,7/15/2020
Andaman and Nicobar Islands,46,130,0,176,7/16/2020
Andhra Pradesh,16621,18378,452,35451,7/16/2020
Arunachal Pradesh,306,153,3,462,7/16/2020
Assam,6447,12173,46,18666,7/16/2020
Bihar,6970,13462,180,20612,7/16/2020
Chandigarh,155,459,11,625,7/16/2020
Chhattisgarh,1195,3324,20,4539,7/16/2020
Dadra and Nagar Haveli and Daman and Diu,180,357,2,539,7/16/2020
Delhi,17807,95699,3487,116993,7/16/2020
Goa,1259,1674,18,2951,7/16/2020
Gujarat,11187,31286,2079,44552,7/16/2020
Haryana,5320,17667,319,23306,7/16/2020
Himachal Pradesh,351,979,11,1341,7/16/2020
Jammu and Kashmir,5123,6337,206,11666,7/16/2020
Jharkhand,1797,2485,38,4320,7/16/2020
Karnataka,27859,18466,928,47253,7/16/2020
Kerala,4884,4634,35,9553,7/16/2020
Ladakh,177,964,1,1142,7/16/2020
Madhya Pradesh,5053,13908,682,19643,7/16/2020
Maharashtra,112099,152613,10928,275640,7/16/2020
Manipur,711,989,0,1700,7/16/2020
Meghalaya,278,66,2,346,7/16/2020
Mizoram,79,159,0,238,7/16/2020
Nagaland,554,348,0,902,7/16/2020
Odisha,4345,10476,77,14898,7/16/2020
Puducherry,686,889,21,1596,7/16/2020
Punjab,2711,5867,221,8799,7/16/2020
Rajasthan,6405,19502,530,26437,7/16/2020
Sikkim,133,87,0,220,7/16/2020
